date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:46	8570/8570	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Dec%202020%2008:45:45%20GMT	http://localhost/Motunau/	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/Motunau/localhost/Motunau/index.html	(from )
21:45:46	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Dec%202020%2008:45:45%20GMT	http://localhost/robots.txt		(from )
21:45:47	51433/51433	---M--	200	added ('OK')	text/css	etag:%22c8e9-5b5662b38fd00%22	http://localhost/Motunau/wp-includes/css/dist/block-library/style.min.css?ver=5.6	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/Motunau/localhost/Motunau/wp-includes/css/dist/block-library/style.min40df.css	(from http://localhost/Motunau/)
21:45:48	2297/2297	---M--	200	added ('OK')	text/css	etag:%228f9-5b18d23a3dd80%22	http://localhost/Motunau/wp-includes/css/dist/block-library/theme.min.css?ver=5.6	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/Motunau/localhost/Motunau/wp-includes/css/dist/block-library/theme.min40df.css	(from http://localhost/Motunau/)
21:45:48	157973/157973	---M--	200	added ('OK')	text/css	etag:%2226915-5b759375f0356%22	http://localhost/Motunau/wp-content/themes/twentytwentyone/style.css?ver=1.1	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/Motunau/localhost/Motunau/wp-content/themes/twentytwentyone/style4963.css	(from http://localhost/Motunau/)
21:45:50	1683/1683	---M--	200	added ('OK')	application/rss+xml	etag:%227d12dd68f46e74d5a860ff8900b2a311%22	http://localhost/Motunau/feed/	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/Motunau/localhost/Motunau/feed/index.html	(from http://localhost/Motunau/)
21:45:50	1654/1654	---M--	200	added ('OK')	application/rss+xml	etag:%22291b0d7891c8d13a6db8f1aee279bcf9%22	http://localhost/Motunau/comments/feed/	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/Motunau/localhost/Motunau/comments/feed/index.html	(from http://localhost/Motunau/)
21:45:50	3075/3075	---M--	200	added ('OK')	text/css	etag:%22c03-5b75937541deb%22	http://localhost/Motunau/wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.1	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/Motunau/localhost/Motunau/wp-content/themes/twentytwentyone/assets/css/print4963.css	(from http://localhost/Motunau/)
21:45:51	810/810	---M--	200	added ('OK')	text/xml	date:Sat,%2026%20Dec%202020%2008:45:50%20GMT	http://localhost/Motunau/xmlrpc.php?rsd	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/Motunau/localhost/Motunau/xmlrpc0db0.php	(from http://localhost/Motunau/)
21:45:51	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/Motunau/wp-includes/wlwmanifest.xml	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/Motunau/localhost/Motunau/wp-includes/wlwmanifest.xml	(from http://localhost/Motunau/)
