date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:23	332/332	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Dec%202020%2009:07:23%20GMT	http://localhost/Motunau	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau.0.delayed	(from )
22:07:24	21577/21577	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Dec%202020%2009:07:23%20GMT	http://localhost/Motunau/	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/index.html	(from )
22:07:24	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Dec%202020%2009:07:23%20GMT	http://localhost/robots.txt		(from )
22:07:24	73000/73000	---M--	200	added ('OK')	text/css	etag:%2211d28-5b75a3c863299%22	http://localhost/Motunau/wp-content/themes/hestia/assets/bootstrap/css/bootstrap.min.css?ver=1.0.2	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/themes/hestia/assets/bootstrap/css/bootstrap.min20b9.css	(from http://localhost/Motunau/)
22:07:26	1683/1683	---M--	200	added ('OK')	application/rss+xml	etag:%22bd361665365c7a586a3958a1f742cb5b%22	http://localhost/Motunau/feed/	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/feed/index.html	(from http://localhost/Motunau/)
22:07:26	1654/1654	---M--	200	added ('OK')	application/rss+xml	etag:%22291b0d7891c8d13a6db8f1aee279bcf9%22	http://localhost/Motunau/comments/feed/	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/comments/feed/index.html	(from http://localhost/Motunau/)
22:07:26	3896/3896	---M--	200	added ('OK')	text/css	etag:%22f38-5b75a3c8781a5%22	http://localhost/Motunau/wp-content/themes/hestia/assets/css/font-sizes.min.css?ver=3.0.8	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/themes/hestia/assets/css/font-sizes.min6173.css	(from http://localhost/Motunau/)
22:07:26	51433/51433	---M--	200	added ('OK')	text/css	etag:%22c8e9-5b5662b38fd00%22	http://localhost/Motunau/wp-includes/css/dist/block-library/style.min.css?ver=5.6	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/css/dist/block-library/style.min40df.css	(from http://localhost/Motunau/)
22:07:28	58578/58578	---M--	200	added ('OK')	text/css	etag:%22e4d2-5b75a41a0a877%22	http://localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/css/all.min.css?ver=2.10.3	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/css/all.minc27b.css	(from http://localhost/Motunau/)
22:07:30	26702/26702	---M--	200	added ('OK')	text/css	etag:%22684e-5b75a41a0c3de%22	http://localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/css/v4-shims.min.css?ver=2.10.3	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/css/v4-shims.minc27b.css	(from http://localhost/Motunau/)
22:07:30	502/502	---M--	200	added ('OK')	text/css	etag:%221f6-5b75a418d931a%22	http://localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/companion-legacy/assets/css/hestia/clients-bar.css?ver=5.6	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/companion-legacy/assets/css/hestia/clients-bar40df.css	(from http://localhost/Motunau/)
22:07:30	143254/143254	---M--	200	added ('OK')	text/css	etag:%2222f96-5b75a3cb6e929%22	http://localhost/Motunau/wp-content/themes/hestia/style.min.css?ver=3.0.8	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/themes/hestia/style.min6173.css	(from http://localhost/Motunau/)
22:07:34	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%222bd8-5b472638cda40%22	http://localhost/Motunau/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://localhost/Motunau/)
22:07:34	1839/1839	---M--	200	added ('OK')	application/json	date:Sat,%2026%20Dec%202020%2009:07:32%20GMT	http://localhost/Motunau/wp-json/wp/v2/pages/8	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-json/wp/v2/pages/8.json	(from http://localhost/Motunau/)
22:07:36	810/810	---M--	200	added ('OK')	text/xml	date:Sat,%2026%20Dec%202020%2009:07:34%20GMT	http://localhost/Motunau/xmlrpc.php?rsd	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/xmlrpc0db0.php	(from http://localhost/Motunau/)
22:07:36	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/Motunau/wp-includes/wlwmanifest.xml	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/wlwmanifest.xml	(from http://localhost/Motunau/)
22:07:37	2211/2211	---M--	200	added ('OK')	application/json	date:Sat,%2026%20Dec%202020%2009:07:36%20GMT	http://localhost/Motunau/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2FMotunau%2F	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-json/oembed/1.0/embedf3d3.json	(from http://localhost/Motunau/)
22:07:37	2301/2301	---M--	200	added ('OK')	text/xml	date:Sat,%2026%20Dec%202020%2009:07:36%20GMT	http://localhost/Motunau/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2FMotunau%2F&format=xml	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-json/oembed/1.0/embedf0cf	(from http://localhost/Motunau/)
22:07:38	3035/3035	---M--	200	added ('OK')	application/javascript	etag:%22bdb-5b1ec481fe000%22	http://localhost/Motunau/wp-includes/js/comment-reply.min.js?ver=5.6	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/js/comment-reply.min40df.js	(from http://localhost/Motunau/)
22:07:38	89496/89496	---M--	200	added ('OK')	application/javascript	etag:%2215d98-5b11746475f40%22	http://localhost/Motunau/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/js/jquery/jquery.min9d52.js	(from http://localhost/Motunau/)
22:07:40	22004/22004	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Dec%202020%2009:07:38%20GMT	http://localhost/Motunau/blog/	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/blog/index.html	(from http://localhost/Motunau/)
22:07:42	23366/23366	---M--	200	added ('OK')	application/javascript	etag:%225b46-5b75a3c869bd6%22	http://localhost/Motunau/wp-content/themes/hestia/assets/bootstrap/js/bootstrap.min.js?ver=1.0.2	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/themes/hestia/assets/bootstrap/js/bootstrap.min20b9.js	(from http://localhost/Motunau/)
22:07:43	20856/20856	---M--	200	added ('OK')	application/javascript	etag:%225178-5b11746475f40%22	http://localhost/Motunau/wp-includes/js/jquery/ui/core.min.js?ver=1.12.1	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/js/jquery/ui/core.min35d0.js	(from http://localhost/Motunau/)
22:07:45	23323/23323	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Dec%202020%2009:07:42%20GMT	http://localhost/Motunau/sample-page/	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/sample-page/index.html	(from http://localhost/Motunau/)
22:07:45	1434/1434	---M--	200	added ('OK')	application/javascript	etag:%2259a-595c52fd2e6c0%22	http://localhost/Motunau/wp-includes/js/wp-embed.min.js?ver=5.6	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/js/wp-embed.min40df.js	(from http://localhost/Motunau/)
22:07:47	21148/21148	---M--	200	added ('OK')	application/javascript	etag:%22529c-5b75a3c8e2c05%22	http://localhost/Motunau/wp-content/themes/hestia/assets/js/script.min.js?ver=3.0.8	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/themes/hestia/assets/js/script.min6173.js	(from http://localhost/Motunau/)
22:07:51	103049/103049	---MC-	200	added ('OK')	application/json	date:Sat,%2026%20Dec%202020%2009:07:32%20GMT	http://localhost/Motunau/wp-json/	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-json/index.html	(from http://localhost/Motunau/)
22:07:59	76612/76612	---M--	200	added ('OK')	font/woff2	etag:%2212b44-5b75a41a1cca6%22	http://localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/webfonts/fa-brands-400.woff2	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/webfonts/fa-brands-400.woff2	(from http://localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/css/all.min.css?ver=2.10.3)
22:08:06	177817/177817	---M--	200	added ('OK')	image/jpeg	etag:%222b699-5b75a53c9687a%22	http://localhost/Motunau/wp-content/uploads/2020/12/122579146_3542275872526363_5780681884022639449_n.jpg	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/uploads/2020/12/122579146_3542275872526363_5780681884022639449_n.jpg	(from http://localhost/Motunau/)
22:08:07	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22207aa-5b75a41a0fa47%22	http://localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/webfonts/fa-brands-400.eot	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/webfonts/fa-brands-400.eot	(from http://localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/css/all.min.css?ver=2.10.3)
22:08:07	715890/715890	---M--	200	added ('OK')	image/svg+xml	etag:%22aec72-5b75a41a134b7%22	http://localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/webfonts/fa-brands-400.svg	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/webfonts/fa-brands-400.svg	(from http://localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/css/all.min.css?ver=2.10.3)
22:08:14	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22207aa-5b75a41a0fa47%22	http://localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/webfonts/fa-brands-400.eot?	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/webfonts/fa-brands-400d41d.eot	(from http://localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/css/all.min.css?ver=2.10.3)
22:08:14	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228656-5b75a41a1efc0%22	http://localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/webfonts/fa-regular-400.eot	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/webfonts/fa-regular-400.eot	(from http://localhost/Motunau/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/css/all.min.css?ver=2.10.3)
